x,y
0.3448,-1.41171
0.3456,-1.41284
0.3464,-1.41397
0.3472,-1.4151
0.348,-1.41623
0.3488,-1.41737
0.3496,-1.4185
0.3504,-1.41964
0.3512,-1.42077
0.352,-1.42191
0.3528,-1.42305
0.3536,-1.42419
0.3544,-1.42533
0.3552,-1.42647
0.356,-1.42761
0.3568,-1.42875
0.3576,-1.42989
0.3584,-1.43104
0.3592,-1.43218
0.36,-1.43333
0.3608,-1.43448
0.3616,-1.43562
0.3624,-1.43677
0.3632,-1.43792
0.364,-1.43907
0.3648,-1.44023
0.3656,-1.44138
0.3664,-1.44253
0.3672,-1.44369
0.368,-1.44484
0.3688,-1.446
0.3696,-1.44716
0.3704,-1.44831
0.3712,-1.44947
0.372,-1.45063
0.3728,-1.45179
0.3736,-1.45296
0.3744,-1.45412
0.3752,-1.45528
0.376,-1.45645
0.3768,-1.45761
0.3776,-1.45878
0.3784,-1.45995
0.3792,-1.46112
0.38,-1.46228
0.3808,-1.46345
0.3816,-1.46463
0.3824,-1.4658
0.3832,-1.46697
0.384,-1.46815
0.3848,-1.46932
0.3856,-1.4705
0.3864,-1.47167
0.3872,-1.47285
0.388,-1.47403
0.3888,-1.47521
0.3896,-1.47639
0.3904,-1.47757
0.3912,-1.47875
0.392,-1.47994
0.3928,-1.48112
0.3936,-1.48231
0.3944,-1.48349
0.3952,-1.48468
0.396,-1.48587
0.3968,-1.48706
0.3976,-1.48825
0.3984,-1.48944
0.3992,-1.49063
0.4,-1.49182
0.4008,-1.49302
0.4016,-1.49421
0.4024,-1.49541
0.4032,-1.49661
0.404,-1.4978
0.4048,-1.499
0.4056,-1.5002
0.4064,-1.5014
0.4072,-1.5026
0.408,-1.50381
0.4088,-1.50501
0.4096,-1.50622
0.4104,-1.50742
0.4112,-1.50863
0.412,-1.50983
0.4128,-1.51104
0.4136,-1.51225
0.4144,-1.51346
0.4152,-1.51467
0.416,-1.51589
0.4168,-1.5171
0.4176,-1.51831
0.4184,-1.51953
0.4192,-1.52074
0.42,-1.52196
0.4208,-1.52318
0.4216,-1.5244
0.4224,-1.52562
0.4232,-1.52684
0.424,-1.52806
0.4248,-1.52928
0.4256,-1.53051
0.4264,-1.53173
0.4272,-1.53296
0.428,-1.53419
0.4288,-1.53541
0.4296,-1.53664
0.4304,-1.53787
0.4312,-1.5391
0.432,-1.54034
0.4328,-1.54157
0.4336,-1.5428
0.4344,-1.54404
0.4352,-1.54527
0.436,-1.54651
0.4368,-1.54775
0.4376,-1.54899
0.4384,-1.55022
0.4392,-1.55147
0.44,-1.55271
0.4408,-1.55395
0.4416,-1.55519
0.4424,-1.55644
0.4432,-1.55768
0.444,-1.55893
0.4448,-1.56018
0.4456,-1.56143
0.4464,-1.56268
0.4472,-1.56393
0.448,-1.56518
0.4488,-1.56643
0.4496,-1.56768
0.4504,-1.56894
0.4512,-1.5702
0.452,-1.57145
0.4528,-1.57271
0.4536,-1.57397
0.4544,-1.57523
0.4552,-1.57649
0.456,-1.57775
0.4568,-1.57901
0.4576,-1.58028
0.4584,-1.58154
0.4592,-1.58281
0.46,-1.58407
0.4608,-1.58534
0.4616,-1.58661
0.4624,-1.58788
0.4632,-1.58915
0.464,-1.59042
0.4648,-1.5917
0.4656,-1.59297
0.4664,-1.59424
0.4672,-1.59552
0.468,-1.5968
0.4688,-1.59808
0.4696,-1.59935
0.4704,-1.60063
0.4712,-1.60192
0.472,-1.6032
0.4728,-1.60448
0.4736,-1.60576
0.4744,-1.60705
0.4752,-1.60834
0.476,-1.60962
0.4768,-1.61091
0.4776,-1.6122
0.4784,-1.61349
0.4792,-1.61478
0.48,-1.61607
0.4808,-1.61737
0.4816,-1.61866
